日期,10年国债-中国,股票-中国上证,股指期货-中国,能源期货-中国,肉类期货-中国,作物期货-中国,软商品期货-中国,金属期货-中国,名义有效汇率-中国,央行基准利率-中国,PPI-中国,,,,,,,,,
2011-6-1,1.37679562,2762.08,4872.27,4860,NaN,NaN,7018,17450,84.04,2.25,109.6497307,,,,,,,,,
2011-7-1,1.381352469,2701.73,4963.42,4825,NaN,NaN,7652,18540,83.91,2.25,109.6826256,,,,,,,,,
2011-8-1,1.385955085,2567.34,4798.73,4914,NaN,NaN,7688,17085,84.52,2.25,109.8032765,,,,,,,,,
2011-9-1,1.390379721,2359.22,4174.45,4850,NaN,NaN,7191,14920,87.01,2.25,109.8252372,,,,,,,,,
2011-10-1,1.393805657,2468.25,4350.13,4930,NaN,NaN,7154,15445,88.14,2.25,109.1003906,,,,,,,,,
2011-11-1,1.398042942,2333.41,4164.11,4750,NaN,NaN,6561,15180,88.8,2.25,108.358508,,,,,,,,,
2011-12-1,1.402086553,2199.42,3456.29,5299,NaN,NaN,6423,14650,90.01,2.25,108.0117607,,,,,,,,,
2012-1-1,1.404902089,2292.61,3406.68,5080,NaN,NaN,6653,15780,90.33,2.25,107.9361525,,,,,,,,,
2012-2-1,1.409011116,2428.49,3858.54,5283,NaN,2210,6577,15865,89.22,2.25,108.0872631,,,,,,,,,
2012-3-1,1.413166688,2262.79,3560.49,5450,NaN,2276,6599,15240,89.89,2.25,108.3790987,,,,,,,,,
2012-4-1,1.416604523,2396.32,3837.88,5330,NaN,2282,6582,15435,90.15,2.25,108.5525053,,,,,,,,,
2012-5-1,1.420482437,2372.23,3898.59,4906,NaN,2215,6431,14710,91.1,2.25,108.150861,,,,,,,,,
2012-6-1,1.424278185,2225.43,3610.25,4260,NaN,2224,6163,14435,91.47,2.25,107.3613597,,,,,,,,,
2012-7-1,1.428174773,2103.63,3272.06,4525,NaN,2273,5632,14630,91.21,2.25,106.5346773,,,,,,,,,
2012-8-1,1.432148162,2047.52,3354.8,4930,NaN,2324,5831,14660,90.76,2.25,105.9806969,,,,,,,,,
2012-9-1,1.436287866,2086.17,3359.22,5041,NaN,2293,5457,15470,90.06,2.25,105.9171085,,,,,,,,,
